key,Created Date,data,Incident Zip,Incident Address,Street Name,City,Status,Community Board,Borough,latitude,longitude
32984654,03/25/2016 07:50:00 PM,unknown odor/taste in drinking water (QA6),10457,2111 BELMONT AVENUE,BELMONT AVENUE,BRONX,Open,06 BRONX,BRONX,40.84895529297218,-73.88958336891393
32989424,03/25/2016 11:26:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11223,724 AVENUE W,AVENUE W,BROOKLYN,Open,15 BROOKLYN,BROOKLYN,40.59354482105716,-73.96257429773325
32978107,03/24/2016 09:18:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10065,1113 YORK AVENUE,YORK AVENUE,NEW YORK,Started,08 MANHATTAN,MANHATTAN,40.759382903747536,-73.95920714880465
32981798,03/24/2016 01:22:00 PM,Cloudy Or Milky Water (QB1),11231,250 VANBRUNT STREET,VANBRUNT STREET,BROOKLYN,Closed,06 BROOKLYN,BROOKLYN,40.68063989218289,-74.0090567774108
32982422,03/24/2016 11:34:00 AM,"Taste/Odor, Chlorine (QA1)",11377,51-42 30 AVENUE,30 AVENUE,Woodside,Started,01 QUEENS,QUEENS,40.75951288100607,-73.90498252463033
32971495,03/23/2016 05:44:00 PM,"Taste/Odor, Sewer (QA5)",11357,147-22 17 ROAD,17 ROAD,Whitestone,Started,07 QUEENS,QUEENS,40.783762983392336,-73.81835629146609
32969178,03/23/2016 05:32:00 PM,"Taste/Odor, Chemical (QA2)",10028,305 EAST   86 STREET,EAST   86 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN,40.77770372685646,-73.95131385274287
32968432,03/23/2016 04:50:00 PM,"Taste/Odor, Sewer (QA5)",11214,2318 82 STREET,82 STREET,BROOKLYN,Started,11 BROOKLYN,BROOKLYN,40.60249015900611,-73.98862025580874
32972162,03/23/2016 04:21:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10025,330 WEST  108 STREET,WEST  108 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.803180733710114,-73.96821402652597
32974037,03/23/2016 02:40:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11355,43-17 BOWNE STREET,BOWNE STREET,Flushing,Started,07 QUEENS,QUEENS,40.75525038428435,-73.8199897159367
32973123,03/23/2016 12:30:00 PM,Cloudy Or Milky Water (QB1),10453,64 WEST TREMONT AVENUE,WEST TREMONT AVENUE,BRONX,Closed,05 BRONX,BRONX,40.851351420984706,-73.91191437884468
32970123,03/23/2016 07:19:00 AM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10475,100 ASCH LOOP,ASCH LOOP,BRONX,Closed,10 BRONX,BRONX,40.87078921630948,-73.82688307566895
32960782,03/22/2016 08:48:00 PM,Cloudy Or Milky Water (QB1),11209,8381 SHORE ROAD,SHORE ROAD,BROOKLYN,Open,10 BROOKLYN,BROOKLYN,40.62649772929154,-74.0406611958681
32966949,03/22/2016 01:19:00 PM,unknown odor/taste in drinking water (QA6),10027,432 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NEW YORK,Started,10 MANHATTAN,MANHATTAN,40.81467432155512,-73.94921674888995
32960808,03/22/2016 09:55:00 AM,Cloudy Or Milky Water (QB1),11226,2101 BEDFORD AVENUE,BEDFORD AVENUE,BROOKLYN,Started,17 BROOKLYN,BROOKLYN,40.65312095765086,-73.95607905149825
32959749,03/22/2016 09:29:00 AM,Cloudy Or Milky Water (QB1),11226,33 CROOKE AVENUE,CROOKE AVENUE,BROOKLYN,Closed,14 BROOKLYN,BROOKLYN,40.652138412930235,-73.96425686832232
32959841,03/22/2016 01:02:00 AM,"Taste/Odor, Chemical (QA2)",11238,33 LEXINGTON AVENUE,LEXINGTON AVENUE,BROOKLYN,Started,02 BROOKLYN,BROOKLYN,40.686548552557426,-73.96079135058277
32954553,03/21/2016 06:14:00 PM,"No Sampling Required, Requested Information (QG2)",11372,76-15 35 AVENUE,35 AVENUE,Jackson Heights,Open,03 QUEENS,QUEENS,40.751232398160354,-73.8900304758074
32958807,03/21/2016 04:46:00 PM,unknown odor/taste in drinking water (QA6),11225,220 MONTGOMERY STREET,MONTGOMERY STREET,BROOKLYN,Started,09 BROOKLYN,BROOKLYN,40.66582706516124,-73.95746206244218
32951606,03/21/2016 04:18:00 PM,"Taste/Odor, Musty/Stale (QA4)",10466,1702 NEREID AVENUE,NEREID AVENUE,BRONX,Closed,12 BRONX,BRONX,40.89785436670859,-73.85237890560647
32957810,03/21/2016 03:05:00 PM,Cloudy Or Milky Water (QB1),11210,1478 BROOKLYN AVENUE,BROOKLYN AVENUE,BROOKLYN,Closed,17 BROOKLYN,BROOKLYN,40.63731316182746,-73.94233655786051
32955661,03/21/2016 11:29:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),10025,2508 BROADWAY,BROADWAY,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.79300724018787,-73.97296799403537
32954756,03/21/2016 09:03:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),10016,425 PARK AVENUE SOUTH,PARK AVENUE SOUTH,NEW YORK,Closed,05 MANHATTAN,MANHATTAN,40.744081492435235,-73.98351482688908
32949919,03/20/2016 11:36:00 PM,"Taste/Odor, Chemical (QA2)",11205,289 CLINTON AVENUE,CLINTON AVENUE,BROOKLYN,Started,02 BROOKLYN,BROOKLYN,40.689188511039795,-73.96801235092174
32947994,03/20/2016 09:20:00 PM,"Taste/Odor, Chemical (QA2)",10023,130 WEST   71 STREET,WEST   71 STREET,NEW YORK,Started,07 MANHATTAN,MANHATTAN,40.777157891808066,-73.98030400883447
32950780,03/20/2016 01:42:00 PM,"Taste/Odor, Chlorine (QA1)",10027,100 WEST  121 STREET,WEST  121 STREET,NEW YORK,Started,10 MANHATTAN,MANHATTAN,40.80540477421469,-73.94783313812493
32951138,03/20/2016 10:26:00 AM,"Clear Water With Organisms (Insects, Worms) (QE2)",10016,4 EAST   28 STREET,EAST   28 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN,40.74452383767243,-73.98695035428551
32942660,03/19/2016 07:05:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11365,69-29 165 STREET,165 STREET,Fresh Meadows,Closed,08 QUEENS,QUEENS,40.73255806946165,-73.80399081999245
32939269,03/19/2016 06:30:00 PM,"Taste/Odor, Chemical (QA2)",11212,774 ROCKAWAY AVENUE,ROCKAWAY AVENUE,BROOKLYN,Closed,16 BROOKLYN,BROOKLYN,40.66070968424328,-73.9084572653022
32939288,03/19/2016 03:47:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",10032,500 WEST  160 STREET,WEST  160 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN,40.83489901364428,-73.94108479511893
32941183,03/19/2016 11:25:00 AM,"Taste/Odor, Chemical (QA2)",11365,196-15B 65 CRESCENT,65 CRESCENT,Fresh Meadows,Closed,08 QUEENS,QUEENS,40.74002737946789,-73.77726499190501
32946067,03/19/2016 03:31:00 AM,"Taste/Odor, Sewer (QA5)",10128,317 EAST   93 STREET,EAST   93 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN,40.78205811619789,-73.94786948391108
32935157,03/18/2016 07:59:00 PM,Cloudy Or Milky Water (QB1),11213,706 EASTERN PARKWAY,EASTERN PARKWAY,BROOKLYN,Closed,09 BROOKLYN,BROOKLYN,40.669524269969095,-73.94454729397962
32937560,03/18/2016 07:36:00 PM,"Taste/Odor, Chemical (QA2)",10027,100 WEST  121 STREET,WEST  121 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN,40.80540477421469,-73.94783313812493
