name,id,connections,category,keywords,categoryDisplay,link,pointType,locationType,locations,latitude,longitude,mappable,address,description,shortDesc,notes,benefits
Lucky Peach,prj1,,Blogs/Articles,,Blogs/Articles,http://luckypeach.com/the-carbon-footprint-of-eating-out/?utm_content=buffer42a1a&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,point,HQ,,40.7346195,-73.993265,Y,"853 Broadway, New York, New York 10003","Lucky Peach is a food and lifestyle journal that explores a monthly theme through essays, art, photography, recipes, and original video content.","Lucky Peach is a food and lifestyle journal that explores a monthly theme through essays, art, photography, recipes, and original video content.",,
BK Rot,prj2,,Community Activism,"compost, food waste",Community Activism,https://bkrot.org/,point,HQ,,40.697844,-73.9281057,Y,1278 Myrtle Avenue Brooklyn NY 11237,"BK ROT is a community-supported composting operation that generates year-round environmental jobs for local youth in Bushwick, Brooklyn. BK ROT youth earn stipends to collect organic waste from residents small businesses and community institutions by bike, and process the material at our two compost sites. Our primary mission is to work at the intersection of the social and environmental injustices impacting youth of color from the neighborhood and the health of our community and larger ecosystem. We believe the fight against the systems that generate environmental destruction and social inequality must be community-led, and must empower those most affected by these crises. We envision a city where the environmental progress made at the policy levels are inclusive of those most excluded from the current opportunities for meaningful environmental jobs. We see great potential for grassroots efforts at the neighborhood level to experiment with solutions climate change while creating genuine space and opportunity for youth to drive these efforts.","BK ROT is a community-supported composting operation that generates year-round environmental jobs for local youth in Bushwick, Brooklyn.",,
Earth Matter,prj3,,Community Activism,compost,Community Activism,https://earthmatter.org/,point,HQ,,40.7187589,-73.9866322,Y,"179 Rivington Street, #4A
New York, NY 10002","Earth Matter NY accepts and processes food waste as part of DSNY’s NYC Compost Project. Earth Matter NY Inc. is a nonprofit organization dedicated to advancing the art, science, and application of composting in and around New York City.","Earth Matter NY accepts and processes food waste as part of DSNY’s NYC Compost Project. Earth Matter NY Inc. is a nonprofit organization dedicated to advancing the art, science, and application of composting in and around New York City.",,
Change Food,prj4,,Community Activism,,Community Activism,http://www.changefood.org/,point,HQ,,40.7285529,-73.987221,Y,"151 First Avenue
Suite 151
New York, NY 10003",Change Food is a non-profit organization dedicated to connecting and collaborating with those who produce and care about food in order to transform the environment in which our food is grown and help improve the way we eat.,Change Food is a non-profit organization dedicated to connecting and collaborating with those who produce and care about food in order to transform the environment in which our food is grown and help improve the way we eat.,,
Proud Pour,prj5,prj15,Products,,Products,https://www.proudpour.com/,point,HQ,,42.3621756,-71.1131287,Y,"6 Rockwell Street Cambridge, Massachusetts, 02139","We pair wines with solutions to local environmental problems. Our first wine, The Oyster, is a Sauvignon Blanc that restores 100 wild oysters per bottle. It also happens to be the perfect pair to your oyster or seafood plate. Every time you enjoy Proud Pour wine, you get to sit back, relax, and know you are making a difference.",We pair wines with solutions to local environmental problems.,,
Prime Produce,prj6,,Greenspaces,Collaboratory for green producers,Greenspaces,http://www.primeproduce.org/,point,HQ - in construction,,40.766328,-73.989472,Y,"424 W 54th St, New York, NY 10019","A Guild for Prime Producers; People who view intentional service as a craft; Our Home, a living room and collaboratory, an ecosystem of invitations, to cultivate resilient businesses organisations and projects.","A Guild for Prime Producers; People who view intentional service as a craft; Our Home, a living room and collaboratory, an ecosystem of invitations, to cultivate resilient businesses organisations and projects.",,
Fleisher's Craft Butchery,prj7,"prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj15",Products,,Products,https://www.fleishers.com/,point,Store,,40.6769777,-73.98251,Y,"192 5th Ave, Brooklyn, NY 11217",We believe in knowing where our food comes from so we can enjoy it with confidence and share first-hand knowledge with our customers. Our family-owned farm partners and world-class standards help ensure transparency at every step.,We believe in knowing where our food comes from so we can enjoy it with confidence and share first-hand knowledge with our customers.,,
Union Square Greenmarket,prj9,prj15,Greenspaces,,Greenspaces,https://www.grownyc.org/greenmarket/manhattan-union-square-m,point,Market,,40.736722,-73.99242,Y,"E 17th St & Union Square W, New York, NY 10003, E 17th St, New York, NY 10003","The world-famous Union Square Greenmarket began with just a few farmers in 1976, has grown exponentially; in peak season 140 regional farmers, fishers, and bakers sell their products to a dedicated legion of city dwellers. As Greenmarket's flagship market, the seasonal bounty is unparalleled, with hundreds of varieties to choose from during any given season. From just-picked fresh fruits and vegetables, to heritage meats and award-winning farmstead cheeses, artisan breads, jams, pickles, a profusion of cut flowers and plants, wine, ciders, maple syrup and much more. Located in one of New York City's great public spaces, the atmosphere at Union Square on a market day is electric: 60,000 market shoppers shop and chat with farmers; students of all ages tour the market and learn about seasonality; visitors watch and taste cooking demonstrations by some of New York's hottest local chefs. ","The world-famous Union Square Greenmarket; in peak season 140 regional farmers, fishers, and bakers sell their products to a dedicated legion of city dwellers.",,
Saxelby Cheese,prj10,prj15,Products,,Products,https://saxelbycheese.com,point,Store,,40.7191941,-73.989782,Y,"120 Essex Street
(Btw Delancey and Rivington)
New York, NY 10002","Anne Saxelby opened Saxelby Cheesemongers in 2006 in the historic Essex Street Market on Manhattan's Lower East Side. Saxelby studied fine art at NYU before discovering her love for the art of transforming milk into cheese. Saxelby's goal was (and is) to bridge the gap between local cheesemakers and cheese lovers, creating a company where the relationships with cheesemakers and with cheese-loving customers are paramount. In 2007, Saxelby was joined by Benoit Breal, a Frenchman with a passion for good cheese and a background in business and artisanal production by way of his family's textile business. Together, Saxelby and Breal have grown Saxelby Cheesemongers from a tiny stall in the Essex Street Market to include a booming wholesale and distribution business serving restaurants and retailers in New York City and across the country.",Anne Saxelby opened Saxelby Cheesemongers in 2006 in the historic Essex Street Market on Manhattan's Lower East Side.,,
Local Bushel,prj12,,Products,,Products,http://www.localbushel.com/,point,HQ,,40.7065668,-74.0095894,Y,"48 Wall Street New York, NY, USA","Local Bushel is a community of individuals dedicated to increasing our consumption of responsibly raised food. Everybody eats, and what we eat shapes not only our own bodies, but the nature of our food supply. We can make a decision to buy our food from local farmers that are stewards of the land they live and work on. We are saying that we care about protecting rural communities.",Local Bushel is a community of individuals dedicated to increasing our consumption of responsibly raised food.,,
Pure Food Kids Foundation,prj13,,Education,,Education,http://www.purefoodkids.org/,point,HQ,,40.7388528,-73.9917005,Y,"801 Blanchard St., Seattle, WA 98121 | 900 Broadway, New York, NY 10003",OUR MISSION IS TO EMPOWER KIDS TO MAKE HEALTHY FOOD CHOICES FOR LIFE.,OUR MISSION IS TO EMPOWER KIDS TO MAKE HEALTHY FOOD CHOICES FOR LIFE.,,
