name,longitude,latitude,popupContent,hasPopupContent
Amawalk Reservoir,-73.7645303,41.3050267,Amawalk Reservoir,TRUE
Ashokan Reservoir,-74.2521195,41.9665264,Ashokan Reservoir,TRUE
Bog Brook Reservoir,-73.5937801,41.4161806,Bog Brook Reservoir,TRUE
Boyd Corners Reservoir,-73.7575683,41.4598152,Boyds Corners Reservoir,TRUE
Cannonsville Reservoir,-75.3444486,42.1151127,Cannonsville Reservoir,TRUE
Cross River Reservoir,-73.6559196,41.2536113,Cross River Reservoir,TRUE
Croton Falls Reservoir,-73.6895638,41.37302,Croton Falls Reservoir,TRUE
Diverting Reservoir,-73.6386762,41.3836991,Diverting Reservoir,TRUE
East Branch Reservoir,-73.5863766,41.3987325,East Branch Reservoir,TRUE
Kensico Reservoir,-73.7735298,41.0989104,Kensico Reservoir,TRUE
Middle Branch Reservoir,-73.6620754,41.4047149,Middle Branch Reservoir,TRUE
Muscoot Reservoir,-73.7146243,41.2790884,Muscoot Reservoir,TRUE
Neversink Reservoir,-74.6903872,41.8496794,Neversink Reservoir,TRUE
New Croton Reservoir,-73.8310109,41.2374889,New Croton Reservoir,TRUE
Pepacton Reservoir,-74.9166087,42.094863,Pepacton Reservoir,TRUE
Rondout Reservoir,-74.5109146,41.8300391,Rondout Reservoir,TRUE
Schoharie Reservoir,-74.4613431,42.3642738,Schoharie Reservoir,TRUE
Titicus Reservoir,-73.6401981,41.3288711,Titicus Reservoir,TRUE
West Branch Reservoir,-73.7271964,41.4191365,West Branch Reservoir,TRUE
